agent_id,o_zone_id,d_zone_id,volume,travel_time,node_sequence,o_node_id,d_node_id
32,1,16,113.8853182,14.19617998,1;547;549;551;563;564;493;562;16,1,16
33,1,17,311.17,10.15025613,1;547;549;551;563;17,1,17
34,1,18,157,11.74591189,1;547;549;551;563;564;18,1,18
35,1,19,32.43,13.33784558,1;547;549;551;563;564;565;19,1,19
36,1,20,1.069152549,18.24065058,1;547;549;550;560;558;491;559;566;20,1,20
37,1,20,4.402044106,18.26626093,1;547;549;551;563;564;493;562;567;566;20,1,20
38,1,20,5.237775688,18.21007667,1;547;548;550;560;558;491;559;566;20,1,20
39,1,20,2.671027656,18.26657518,1;547;549;551;563;562;567;566;20,1,20
40,1,21,1.371916108,15.68470811,1;547;549;551;563;562;567;21,1,21
41,1,21,16.09808389,15.68439387,1;547;549;551;563;564;493;562;567;21,1,21
42,1,22,22.14,14.88363493,1;547;549;551;563;564;565;568;22,1,22
43,1,23,39.32,16.49833229,1;547;549;551;563;564;565;569;23,1,23
44,1,24,0,20.86112624,1;547;549;550;560;558;491;559;566;500;570;24,1,24
45,1,24,13.59,19.14096737,1;547;549;551;563;564;565;569;570;24,1,24
46,1,25,0,23.5887037,1;547;549;550;560;558;557;490;631;571;25,1,25
47,1,25,0.115502067,23.49311503,1;547;548;550;553;496;556;557;490;631;636;501;571;25,1,25
48,1,25,8.324497933,22.7441135,1;547;549;551;563;564;565;569;570;571;25,1,25
49,1,25,0,23.57073651,1;547;548;550;560;558;491;490;631;571;25,1,25
50,1,26,13.43,20.46403471,1;547;549;551;563;564;565;569;572;26,1,26
51,1,27,8.38,19.56693585,1;547;549;551;563;564;565;569;573;27,1,27
52,1,28,32.99,16.94317927,1;547;549;551;563;564;565;568;574;28,1,28
53,1,29,28.07,19.89123228,1;547;549;551;563;564;565;568;574;575;29,1,29
54,1,30,3.65,22.8698729,1;547;549;551;563;564;565;569;572;576;30,1,30
55,1,31,3.21,22.53426628,1;547;549;551;563;564;565;569;573;577;31,1,31
56,1,32,5.58,25.06715959,1;547;549;551;563;564;565;569;573;577;578;32,1,32
57,1,33,3.32,26.15135465,1;547;549;551;563;564;565;568;574;575;580;579;33,1,33
58,1,34,2.01,23.5807542,1;547;549;551;563;564;565;568;574;575;580;34,1,34
59,1,35,5.5,22.51765239,1;547;549;551;563;564;565;568;574;575;581;35,1,35
60,1,36,8.53,26.19342698,1;547;549;551;563;564;565;568;574;575;581;582;36,1,36
61,1,37,28.97967545,21.01270174,1;547;548;552;435;554;622;540;583;37,1,37
62,1,37,0,22.93421456,1;547;548;552;435;436;437;438;540;583;37,1,37
63,1,37,1.530324553,21.40858504,1;547;548;552;435;554;437;438;540;583;37,1,37
64,1,38,0.11,32.92099209,1;547;621;620;598;599;432;595;596;441;591;592;587;588;584;38,1,38
65,1,39,1.280039195,28.23405065,1;547;621;620;598;599;432;431;593;594;589;590;401;585;39,1,39
66,1,39,1.289960805,28.26168189,1;547;621;620;598;599;432;595;596;441;591;592;587;585;39,1,39
67,1,40,0.312222798,31.28955101,1;547;621;620;598;599;432;431;593;594;589;590;401;585;586;40,1,40
68,1,40,0.757777202,31.24101774,1;547;621;620;598;599;432;595;596;441;591;592;587;588;586;40,1,40
69,1,41,2.76,25.32286342,1;547;621;620;598;599;432;595;596;441;591;592;587;41,1,41
70,1,42,0.2,28.31183061,1;547;621;620;598;599;432;595;596;441;591;592;587;588;42,1,42
71,1,43,3.677320676,21.95510616,1;547;621;620;598;599;432;431;593;594;589;43,1,43
72,1,43,0.802679324,22.17806377,1;547;621;620;598;599;432;595;596;441;591;589;43,1,43
73,1,44,3.093136241,25.00847037,1;547;621;620;598;599;432;431;593;594;589;590;44,1,44
74,1,44,0.686863759,25.23142798,1;547;621;620;598;599;432;595;596;441;591;589;590;44,1,44
75,1,45,6.22,19.19951897,1;547;621;620;598;599;432;595;596;441;591;45,1,45
76,1,46,4.91,22.27084897,1;547;621;620;598;599;432;595;596;441;591;592;46,1,46
77,1,47,24.92,15.30287365,1;547;621;620;598;599;432;431;593;47,1,47
78,1,48,14.87,18.24001619,1;547;621;620;598;599;432;431;593;594;48,1,48
79,1,49,26.4,12.95796146,1;547;621;620;598;599;432;595;49,1,49
80,1,50,17.29,15.90743446,1;547;621;620;598;599;432;595;596;50,1,50
81,1,51,9.33,12.48075547,1;547;621;620;598;599;597;51,1,51
82,1,52,106.99,7.004030525,1;547;621;620;598;52,1,52
83,1,53,67.93,9.579543122,1;547;621;620;598;599;53,1,53
84,1,54,0.030119637,32.0440824,1;547;548;552;435;554;437;438;536;537;399;604;605;600;54,1,54
85,1,54,0.006009471,31.98536392,1;547;548;618;434;619;614;439;615;610;537;399;604;605;600;54,1,54
86,1,54,0.001874669,32.01170424,1;547;548;552;619;614;439;615;610;537;399;604;605;600;54,1,54
87,1,54,0.001996222,32.4866704,1;547;548;552;435;554;614;439;615;610;537;399;604;605;600;54,1,54
88,1,55,0.030326315,35.21656944,1;547;548;552;435;554;437;438;536;537;399;604;605;600;601;55,1,55
89,1,55,0.003253245,35.42646078,1;547;548;618;434;619;614;439;615;610;537;399;398;397;396;395;394;601;55,1,55
90,1,55,0.004165593,35.18419127,1;547;548;552;619;614;439;615;610;537;399;604;605;600;601;55,1,55
91,1,55,0.002254847,35.65915744,1;547;548;552;435;554;614;439;615;610;537;399;604;605;600;601;55,1,55
92,1,56,0.163927174,32.20150703,1;547;548;552;435;554;614;439;615;610;611;403;606;607;602;56,1,56
93,1,56,0.492484077,31.70020055,1;547;548;618;434;619;614;439;615;610;611;403;606;607;602;56,1,56
94,1,56,0.433588749,31.72654087,1;547;548;552;619;614;439;615;610;611;403;606;607;602;56,1,56
95,1,57,0.004642806,35.26069737,1;547;548;552;435;554;614;439;615;610;611;403;606;607;602;603;57,1,57
96,1,57,0.013417712,34.75939088,1;547;548;618;434;619;614;439;615;610;611;403;606;607;602;603;57,1,57
97,1,57,0.011939482,34.7857312,1;547;548;552;619;614;439;615;610;611;403;606;607;602;603;57,1,57
98,1,58,2.381553272,26.22251325,1;547;548;552;435;554;437;438;536;537;399;604;58,1,58
99,1,58,0.510141974,26.16379477,1;547;548;618;434;619;614;439;615;610;537;399;604;58,1,58
100,1,58,0.145891845,26.19013508,1;547;548;552;619;614;439;615;610;537;399;604;58,1,58
101,1,58,0.122412908,26.66510125,1;547;548;552;435;554;614;439;615;610;537;399;604;58,1,58
102,1,59,0.346511241,29.16851289,1;547;548;552;435;554;437;438;536;537;399;604;605;59,1,59
103,1,59,0.071394045,29.10979441,1;547;548;618;434;619;614;439;615;610;537;399;604;605;59,1,59
104,1,59,0.021416238,29.13613473,1;547;548;552;619;614;439;615;610;537;399;604;605;59,1,59
105,1,59,0.020678476,29.61110089,1;547;548;552;435;554;614;439;615;610;537;399;604;605;59,1,59
106,1,60,0.103020628,26.37203295,1;547;548;552;435;554;614;439;615;610;611;403;606;60,1,60
107,1,60,0.342985394,25.87072647,1;547;548;618;434;619;614;439;615;610;611;403;606;60,1,60
108,1,60,0.293993978,25.89706679,1;547;548;552;619;614;439;615;610;611;403;606;60,1,60
109,1,61,0.190493444,29.31421016,1;547;548;552;435;554;614;439;615;610;611;403;606;607;61,1,61
110,1,61,0.598695339,28.81290368,1;547;548;618;434;619;614;439;615;610;611;403;606;607;61,1,61
111,1,61,0.520811217,28.83924399,1;547;548;552;619;614;439;615;610;611;403;606;607;61,1,61
112,1,62,4.5237039,20.50695531,1;547;621;620;616;433;617;612;440;613;608;62,1,62
113,1,62,0.2862961,20.80636076,1;547;548;618;616;433;617;612;440;613;608;62,1,62
114,1,62,0,21.73752159,1;547;548;552;619;614;439;615;613;608;62,1,62
115,1,62,0,22.21248776,1;547;548;552;435;554;614;439;615;613;608;62,1,62
116,1,63,3.919971126,23.34801701,1;547;621;620;616;433;617;612;440;613;608;609;63,1,63
117,1,63,0.270028874,23.64742246,1;547;548;618;616;433;617;612;440;613;608;609;63,1,63
118,1,63,0,24.57858329,1;547;548;552;619;614;439;615;613;608;609;63,1,63
119,1,63,0,25.05354946,1;547;548;552;435;554;614;439;615;613;608;609;63,1,63
120,1,64,2.535710472,20.10767043,1;547;548;552;435;554;614;439;615;610;64,1,64
121,1,64,10.24203951,19.60636395,1;547;548;618;434;619;614;439;615;610;64,1,64
122,1,64,8.392250021,19.63270427,1;547;548;552;619;614;439;615;610;64,1,64
123,1,65,0.540611114,22.85401495,1;547;548;552;435;554;614;439;615;610;611;65,1,65
124,1,65,1.974473861,22.35270847,1;547;548;618;434;619;614;439;615;610;611;65,1,65
125,1,65,1.654915025,22.37904878,1;547;548;552;619;614;439;615;610;611;65,1,65
126,1,66,26.39080006,13.60452117,1;547;621;620;616;433;617;612;66,1,66
127,1,66,1.069199944,13.90392661,1;547;548;618;616;433;617;612;66,1,66
128,1,67,8.296819883,17.6156497,1;547;621;620;616;433;617;612;440;613;67,1,67
129,1,67,0.463180117,17.91505514,1;547;548;618;616;433;617;612;440;613;67,1,67
130,1,67,0,18.84621598,1;547;548;552;619;614;439;615;613;67,1,67
131,1,67,0,19.32118215,1;547;548;552;435;554;614;439;615;613;67,1,67
132,1,68,3.389558641,13.24886226,1;547;548;552;435;554;614;68,1,68
133,1,68,23.464796,12.74755578,1;547;548;618;434;619;614;68,1,68
134,1,68,17.49564536,12.77389609,1;547;548;552;619;614;68,1,68
135,1,69,3.093457059,16.92743588,1;547;548;552;435;554;614;439;615;69,1,69
136,1,69,14.8535116,16.4261294,1;547;548;618;434;619;614;439;615;69,1,69
137,1,69,11.75303134,16.45246972,1;547;548;552;619;614;439;615;69,1,69
138,1,70,131.34,7.0284808,1;547;621;620;616;70,1,70
139,1,70,0,7.327886243,1;547;548;618;616;70,1,70
140,1,71,66.18876058,10.59513079,1;547;621;620;616;433;617;71,1,71
141,1,71,1.461239417,10.89453623,1;547;548;618;616;433;617;71,1,71
142,1,72,396.95,5.324014003,1;547;548;618;72,1,72
143,1,73,138.4539273,9.166158313,1;547;548;552;619;73,1,73
144,1,73,95.2860727,9.139817997,1;547;548;618;434;619;73,1,73
145,1,74,256.33,5.135866,1;547;621;620;74,1,74
146,1,75,141.39,3.333192574,1;547;621;75,1,75
147,1,76,41.81,14.00307239,1;547;548;552;435;554;622;76,1,76
148,1,76,0,16.43600826,1;547;548;618;434;619;614;622;76,1,76
149,1,77,19.38543672,18.24335204,1;547;548;552;435;554;622;623;77,1,77
150,1,77,0,20.27453378,1;547;548;550;553;496;556;555;624;623;77,1,77
151,1,77,4.484563276,18.35691063,1;547;548;552;435;554;625;555;624;623;77,1,77
152,1,78,33.99,15.21052837,1;547;548;552;435;554;625;555;624;78,1,78
153,1,78,0,17.12815151,1;547;548;550;553;496;556;555;624;78,1,78
154,1,79,32.1,11.55926509,1;547;548;552;435;554;625;79,1,79
155,1,79,0,14.05702612,1;547;548;618;434;619;554;625;79,1,79
156,1,80,18.57,17.96003197,1;547;548;552;435;554;625;555;624;626;80,1,80
157,1,80,0,19.23579924,1;547;548;550;553;496;556;557;630;626;80,1,80
158,1,81,1.739772641,21.32004622,1;547;548;552;435;554;622;623;627;81,1,81
159,1,81,0,22.31921341,1;547;548;550;553;496;556;557;630;626;627;81,1,81
160,1,81,4.920227359,21.04344614,1;547;548;552;435;554;625;555;624;626;627;81,1,81
161,1,82,0,22.20268253,1;547;549;550;560;558;557;490;631;628;82,1,82
162,1,82,0,22.46305389,1;547;548;550;553;496;556;557;630;626;485;628;82,1,82
163,1,82,5.7,21.18728662,1;547;548;552;435;554;625;555;624;626;485;628;82,1,82
164,1,83,0,25.14198951,1;547;549;550;560;558;557;490;631;628;629;83,1,83
165,1,83,0,25.40236087,1;547;548;550;553;496;556;557;630;626;485;628;629;83,1,83
166,1,83,2.19,24.1265936,1;547;548;552;435;554;625;555;624;626;485;628;629;83,1,83
167,1,83,0,24.62811902,1;547;548;552;435;554;622;623;627;484;629;83,1,83
168,1,84,0.668316526,17.03510359,1;547;549;550;560;558;557;630;84,1,84
169,1,84,0.834647641,16.93898363,1;547;548;550;553;496;556;557;630;84,1,84
170,1,84,5.061329414,16.90265638,1;547;548;552;553;496;556;557;630;84,1,84
171,1,84,1.690773304,17.00452967,1;547;548;550;560;558;557;630;84,1,84
172,1,84,0.794933115,16.96955755,1;547;549;550;553;496;556;557;630;84,1,84
173,1,85,0.848476859,19.04923994,1;547;549;550;560;558;557;490;631;85,1,85
174,1,85,1.030197707,18.95311999,1;547;548;550;553;496;556;557;490;631;85,1,85
175,1,85,2.519225486,19.03127276,1;547;548;550;560;558;491;490;631;85,1,85
176,1,85,0.432318957,19.01866603,1;547;548;550;560;558;557;490;631;85,1,85
177,1,85,5.252957701,18.91679274,1;547;548;552;553;496;556;557;490;631;85,1,85
178,1,85,0.986823289,18.9836939,1;547;549;550;553;496;556;557;490;631;85,1,85
179,1,86,0.175975067,24.40397442,1;547;549;550;560;558;557;490;631;636;632;86,1,86
180,1,86,0.20449325,24.30785447,1;547;548;550;553;496;556;557;490;631;636;632;86,1,86
181,1,86,0.975828442,24.19163048,1;547;548;552;435;554;625;555;624;626;485;628;632;86,1,86
182,1,86,0.609935825,24.27152722,1;547;548;552;553;496;556;557;490;631;636;632;86,1,86
183,1,86,0.197682967,24.33842838,1;547;549;550;553;496;556;557;490;631;636;632;86,1,86
184,1,86,0.066084448,24.38600724,1;547;548;550;560;558;491;490;631;636;632;86,1,86
185,1,87,0.058843908,27.34864147,1;547;549;550;560;558;557;490;631;636;632;633;87,1,87
186,1,87,0.067635029,27.25252151,1;547;548;550;553;496;556;557;490;631;636;632;633;87,1,87
187,1,87,0.497906048,27.06964329,1;547;548;552;435;554;625;555;624;626;485;628;629;633;87,1,87
188,1,87,0,27.57116871,1;547;548;552;435;554;622;623;627;484;629;633;87,1,87
189,1,87,0.080080195,27.21619426,1;547;548;552;553;496;556;557;490;631;636;632;633;87,1,87
190,1,87,0.065534819,27.28309543,1;547;549;550;553;496;556;557;490;631;636;632;633;87,1,87
191,1,88,0.007131876,27.44325798,1;547;549;550;560;558;557;490;631;571;634;88,1,88
192,1,88,0.018044322,27.26689074,1;547;548;550;553;496;556;557;490;631;636;501;502;634;88,1,88
193,1,88,0.4873506,26.59866779,1;547;549;551;563;564;565;569;570;571;634;88,1,88
194,1,88,0.007473203,27.42529079,1;547;548;550;560;558;491;490;631;571;634;88,1,88
195,1,89,0.005461324,30.77206254,1;547;549;550;560;558;557;490;631;571;634;635;89,1,89
196,1,89,0.023558538,29.98549934,1;547;548;550;553;496;556;557;490;631;636;501;502;503;504;635;89,1,89
197,1,89,0.033614428,30.06365211,1;547;548;550;560;558;491;490;631;636;501;502;503;504;635;89,1,89
198,1,89,0.125144441,29.92747235,1;547;549;551;563;564;565;569;570;571;634;635;89,1,89
199,1,89,0.039281475,29.94917209,1;547;548;552;553;496;556;557;490;631;636;501;502;503;504;635;89,1,89
200,1,89,0.022939794,30.01607326,1;547;549;550;553;496;556;557;490;631;636;501;502;503;504;635;89,1,89
201,1,90,0.100565161,21.35475315,1;547;549;550;560;558;557;490;631;636;90,1,90
202,1,90,0.119146902,21.25863319,1;547;548;550;553;496;556;557;490;631;636;90,1,90
203,1,90,0.292113166,21.33678596,1;547;548;550;560;558;491;490;631;636;90,1,90
204,1,90,0.051108482,21.32417923,1;547;548;550;560;558;557;490;631;636;90,1,90
205,1,90,0.592354576,21.22230594,1;547;548;552;553;496;556;557;490;631;636;90,1,90
206,1,90,0.114711713,21.28920711,1;547;549;550;553;496;556;557;490;631;636;90,1,90
207,1,91,0,25.86034961,1;547;549;550;560;558;557;490;631;571;637;91,1,91
208,1,91,2.19,24.65649281,1;547;549;551;563;564;565;569;572;637;91,1,91
209,1,91,0,25.84238242,1;547;548;550;560;558;491;490;631;571;637;91,1,91
210,1,92,0.002646843,37.63758212,1;547;549;550;560;558;557;490;631;636;501;502;503;477;476;707;638;92,1,92
211,1,92,0.002895013,37.54146216,1;547;548;550;553;496;556;557;490;631;636;501;502;503;477;476;707;638;92,1,92
212,1,92,0.007160835,37.61961493,1;547;548;550;560;558;491;490;631;636;501;502;503;477;476;707;638;92,1,92
213,1,92,0.001334673,37.6070082,1;547;548;550;560;558;557;490;631;636;501;502;503;477;476;707;638;92,1,92
214,1,92,0.013126886,37.50513491,1;547;548;552;553;496;556;557;490;631;636;501;502;503;477;476;707;638;92,1,92
215,1,92,0.002835751,37.57203608,1;547;549;550;553;496;556;557;490;631;636;501;502;503;477;476;707;638;92,1,92
216,1,93,0.0061993,30.6384591,1;547;549;550;560;558;557;490;631;571;634;505;639;93,1,93
217,1,93,0.011258166,30.46209186,1;547;548;550;553;496;556;557;490;631;636;501;502;634;505;639;93,1,93
218,1,93,0.246185011,29.79386891,1;547;549;551;563;564;565;569;570;571;634;505;639;93,1,93
219,1,93,0.006357523,30.62049192,1;547;548;550;560;558;491;490;631;571;634;505;639;93,1,93
220,1,94,0.000335096,33.74056892,1;547;549;550;560;558;557;490;631;571;634;635;640;94,1,94
221,1,94,0.001657946,32.95400572,1;547;548;550;553;496;556;557;490;631;636;501;502;503;504;635;640;94,1,94
222,1,94,0.001479323,33.03215849,1;547;548;550;560;558;491;490;631;636;501;502;503;504;635;640;94,1,94
223,1,94,0,33.55168316,1;547;548;550;560;558;491;490;631;571;634;505;639;640;94,1,94
224,1,94,0.015914915,32.72506015,1;547;549;551;563;564;565;569;570;571;634;505;639;640;94,1,94
225,1,94,0.00061272,32.98457964,1;547;549;550;553;496;556;557;490;631;636;501;502;503;504;635;640;94,1,94
226,1,95,0.002408836,33.68910001,1;547;549;550;560;558;557;490;631;571;634;505;639;641;95,1,95
227,1,95,0.003768624,33.51273276,1;547;548;550;553;496;556;557;490;631;636;501;502;634;505;639;641;95,1,95
228,1,95,0.071371177,32.84450981,1;547;549;551;563;564;565;569;570;571;634;505;639;641;95,1,95
229,1,95,0.002451363,33.67113282,1;547;548;550;560;558;491;490;631;571;634;505;639;641;95,1,95
230,1,96,0.000471954,36.67377799,1;547;549;550;560;558;557;490;631;571;634;635;640;642;96,1,96
231,1,96,0.001686062,35.88721479,1;547;548;550;553;496;556;557;490;631;636;501;502;503;504;635;640;642;96,1,96
232,1,96,0.001522124,35.96536756,1;547;548;550;560;558;491;490;631;636;501;502;503;504;635;640;642;96,1,96
233,1,96,0,36.48489223,1;547;548;550;560;558;491;490;631;571;634;505;639;640;642;96,1,96
234,1,96,0.015675306,35.65826922,1;547;549;551;563;564;565;569;570;571;634;505;639;640;642;96,1,96
235,1,96,0.000644553,35.91778871,1;547;549;550;553;496;556;557;490;631;636;501;502;503;504;635;640;642;96,1,96
236,1,97,3.54,24.7019212,1;547;549;551;563;564;565;569;572;576;643;97,1,97
237,1,98,0,28.77467638,1;547;549;550;560;558;557;490;631;571;637;644;98,1,98
238,1,98,0.440838144,27.57081958,1;547;549;551;563;564;565;569;572;637;644;98,1,98
239,1,98,0,28.75670919,1;547;548;550;560;558;491;490;631;571;637;644;98,1,98
240,1,98,0.019161856,27.65430624,1;547;549;551;563;564;565;569;572;576;643;644;98,1,98
241,1,99,0.2,28.23909353,1;547;549;551;563;564;565;569;573;577;578;645;99,1,99
242,1,100,0,31.80845157,1;547;549;550;560;558;557;490;631;571;637;644;646;100,1,100
243,1,100,0.095751711,30.60459477,1;547;549;551;563;564;565;569;572;637;644;646;100,1,100
244,1,100,0,31.79048439,1;547;548;550;560;558;491;490;631;571;637;644;646;100,1,100
245,1,100,0.004248289,30.68808143,1;547;549;551;563;564;565;569;572;576;643;644;646;100,1,100
246,1,101,0.22,28.45124166,1;547;549;551;563;564;565;568;574;575;580;579;647;101,1,101
247,1,102,0.001451165,37.18409154,1;547;549;550;560;558;557;490;631;571;634;505;639;641;648;102,1,102
248,1,102,0.007268845,36.68676816,1;547;549;551;563;564;565;569;573;577;578;645;652;653;648;102,1,102
249,1,102,0,37.73541411,1;547;548;550;560;558;491;490;631;571;637;644;646;653;648;102,1,102
250,1,102,0,37.16612435,1;547;548;550;560;558;491;490;631;571;634;505;639;641;648;102,1,102
251,1,102,0.011017349,36.5495245,1;547;549;551;563;564;565;569;572;637;644;646;653;648;102,1,102
252,1,102,0.020262641,36.33950135,1;547;549;551;563;564;565;569;570;571;634;505;639;641;648;102,1,102
253,1,103,0.000592555,39.73133041,1;547;549;550;560;558;557;490;631;571;634;635;640;642;649;103,1,103
254,1,103,0.001710839,38.94476721,1;547;548;550;553;496;556;557;490;631;636;501;502;503;504;635;640;642;649;103,1,103
255,1,103,0.001559841,39.02291998,1;547;548;550;560;558;491;490;631;636;501;502;503;504;635;640;642;649;103,1,103
256,1,103,0,39.54244464,1;547;548;550;560;558;491;490;631;571;634;505;639;640;642;649;103,1,103
257,1,103,0.015464159,38.71582164,1;547;549;551;563;564;565;569;570;571;634;505;639;640;642;649;103,1,103
258,1,103,0.000672606,38.97534112,1;547;549;550;553;496;556;557;490;631;636;501;502;503;504;635;640;642;649;103,1,103
259,1,104,0.000477786,40.13379936,1;547;549;550;560;558;557;490;631;571;634;505;639;641;648;650;104,1,104
260,1,104,0.029522214,39.02073479,1;547;549;551;563;564;565;569;573;577;578;645;652;452;451;655;650;104,1,104
261,1,105,0.000345919,42.67151523,1;547;549;550;560;558;557;490;631;571;634;635;640;642;649;651;105,1,105
262,1,105,0.000865618,41.88495203,1;547;548;550;553;496;556;557;490;631;636;501;502;503;504;635;640;642;649;651;105,1,105
263,1,105,0.000795446,41.9631048,1;547;548;550;560;558;491;490;631;636;501;502;503;504;635;640;642;649;651;105,1,105
264,1,105,0,42.48262947,1;547;548;550;560;558;491;490;631;571;634;505;639;640;642;649;651;105,1,105
265,1,105,0.007645167,41.65600646,1;547;549;551;563;564;565;569;570;571;634;505;639;640;642;649;651;105,1,105
266,1,105,0.00034785,41.91552595,1;547;549;550;553;496;556;557;490;631;636;501;502;503;504;635;640;642;649;651;105,1,105
267,1,106,1.13,30.62497858,1;547;549;551;563;564;565;569;573;577;578;645;652;106,1,106
268,1,107,0.000193187,34.75057234,1;547;549;550;560;558;557;490;631;571;637;644;646;653;107,1,107
269,1,107,0.011394708,33.6839592,1;547;549;551;563;564;565;569;573;577;578;645;652;653;107,1,107
270,1,107,0.000224421,34.73260515,1;547;548;550;560;558;491;490;631;571;637;644;646;653;107,1,107
271,1,107,0.048187683,33.54671554,1;547;549;551;563;564;565;569;572;637;644;646;653;107,1,107
272,1,108,0.1,33.93523407,1;547;549;551;563;564;565;569;573;577;578;645;652;452;654;108,1,108
273,1,109,0,37.87541278,1;547;549;550;560;558;557;490;631;571;637;644;646;653;655;109,1,109
274,1,109,0.06,36.03551703,1;547;549;551;563;564;565;569;573;577;578;645;652;452;451;655;109,1,109
275,1,110,0.13,29.90486063,1;547;549;551;563;564;565;568;574;575;580;579;656;110,1,110
276,1,111,0.22,31.30371365,1;547;549;551;563;564;565;568;574;575;580;579;647;657;111,1,111
277,1,112,0.1,33.02904892,1;547;549;551;563;564;565;568;574;575;580;579;656;658;112,1,112
278,1,113,0.09,34.4764512,1;547;549;551;563;564;565;568;574;575;580;579;647;657;659;113,1,113
279,1,114,0.04,30.29096058,1;547;549;551;563;564;565;568;574;575;581;582;660;114,1,114
280,1,115,0.07,33.28177795,1;547;549;551;563;564;565;568;574;575;581;582;660;661;115,1,115
281,1,116,0.03,37.01536729,1;547;549;551;563;564;565;569;573;577;578;645;652;452;654;662;116,1,116
282,1,117,0,40.80966944,1;547;549;550;560;558;557;490;631;571;637;644;646;653;655;663;117,1,117
283,1,117,0.01,38.66120013,1;547;549;551;563;564;565;569;573;577;578;645;652;452;451;450;449;663;117,1,117
284,1,118,0.04,40.01744586,1;547;549;551;563;564;565;569;573;577;578;645;652;452;654;662;664;118,1,118
285,1,119,0,43.80667667,1;547;549;550;560;558;557;490;631;571;637;644;646;653;655;663;665;119,1,119
286,1,119,0.01,41.59558723,1;547;549;551;563;564;565;569;573;577;578;645;652;452;451;450;449;448;665;119,1,119
287,1,120,1.03,36.3255356,1;547;549;551;563;564;565;568;574;575;580;579;656;658;510;666;120,1,120
288,1,121,0.03,37.76120433,1;547;549;551;563;564;565;568;574;575;580;579;647;657;659;509;667;121,1,121
289,1,122,0.02,39.25571948,1;547;549;551;563;564;565;568;574;575;580;579;656;658;510;666;668;122,1,122
290,1,123,0.02,40.69698631,1;547;549;551;563;564;565;568;574;575;580;579;647;657;659;509;667;669;123,1,123
291,1,124,0.01,37.83278389,1;547;549;551;563;564;565;568;574;575;581;582;660;661;512;670;124,1,124
292,1,125,0.000543654,35.92696989,1;547;548;552;435;554;622;623;681;487;488;405;404;675;676;671;125,1,125
293,1,125,0.006831635,34.36648036,1;547;548;618;434;619;614;439;615;610;611;680;404;675;676;671;125,1,125
294,1,125,0.002889233,34.39282068,1;547;548;552;619;614;439;615;610;611;680;404;675;676;671;125,1,125
295,1,125,0.000119983,34.84051312,1;547;548;552;435;554;614;439;615;610;679;680;404;675;676;671;125,1,125
296,1,125,0.008932136,34.36554696,1;547;548;552;619;614;439;615;610;679;680;404;675;676;671;125,1,125
297,1,125,0.010683358,34.33920664,1;547;548;618;434;619;614;439;615;610;679;680;404;675;676;671;125,1,125
298,1,127,0.024193557,34.32990906,1;547;548;552;435;554;622;623;681;487;682;406;677;678;673;127,1,127
299,1,127,0,37.23306841,1;547;548;618;434;619;614;439;615;610;611;680;404;675;677;678;673;127,1,127
300,1,127,0.005806443,34.44346765,1;547;548;552;435;554;625;555;624;623;681;487;682;406;677;678;673;127,1,127
